子品类,SPU总数,在架SPU,动销SPU,在架动销率,销量件数,销量占比,GMV美金,S款数,A款数,在架零动销数,CR5内部,动销款均月销,均价美金
妈妈装 MOB,3065.0,1527.0,1001.0,0.6548788474132285,9662.0,0.3427456544874069,1362436.0,110.0,248.0,527.0,0.10101428275719312,9.652347652347652,139.0
伴娘裙 BRIDESMAID,1828.0,834.0,528.0,0.6330935251798561,5247.0,0.1861298332742107,553500.0,54.0,139.0,306.0,0.1863922241280732,9.9375,110.0
婚纱 BRIDE,3473.0,1469.0,1041.0,0.697072838665759,5058.0,0.17942532813054274,936752.0,41.0,210.0,445.0,0.08204824041122974,4.858789625360231,179.0
晚礼服 EVENING,2728.0,1061.0,632.0,0.58435438265787,4563.0,0.16186590989712665,664007.0,46.0,144.0,441.0,0.14201183431952663,7.219936708860759,149.0
舞会裙 PROM,2957.0,672.0,322.0,0.4791666666666667,1416.0,0.050230578219226676,205220.0,12.0,61.0,350.0,0.16596045197740114,4.39751552795031,149.0
鸡尾酒裙 COCKTAIL,731.0,472.0,234.0,0.4957627118644068,1107.0,0.03926924441291238,136773.0,11.0,48.0,238.0,0.18518518518518517,4.730769230769231,129.0
花童裙 FLOWER GIRL,383.0,234.0,104.0,0.44017094017094016,747.0,0.026498758424973394,55895.0,9.0,29.0,131.0,0.285140562248996,7.1826923076923075,75.0
少女伴娘 JR BM,102.0,101.0,50.0,0.49504950495049505,213.0,0.007555870876197233,16443.0,2.0,8.0,51.0,0.4507042253521127,4.26,79.0
返校节裙 HOCO,765.0,398.0,78.0,0.1934673366834171,177.0,0.0062788222774033346,20150.0,1.0,3.0,321.0,0.3502824858757062,2.269230769230769,129.0
