品类,3月收入$,增速目标,明年3月目标收入$,收入增量$,3月订单,明年3月目标订单,订单增量,客单价$,需动销SPU数(现状),难度评级
Mother of the Bride,1151123,+40%,1611572,460449,8315,11641,3326,138,1297 (1019),中高
Bride,816190,+45%,1183476,367286,4327,6274,1947,189,1460 (1107),中
Evening,432606,+75%,757060,324454,2873,5028,2155,151,923 (580),中低
Bridesmaid,419584,+50%,629376,209792,4075,6112,2038,103,632 (463),高
Prom,237574,+80%,427633,190059,1508,2714,1206,158,662 (405),中高
Cocktail,113658,+80%,204584,90926,868,1562,694,131,334 (204),中
Flower Girl,42096,+60%,67354,25258,552,883,331,76,142 (98),低
其他品类(统一),111044,+50%,166566,55522,8350,12525,4175,-,-,跟随
公司合计,3323875,+51.9%,5047621,1723746,30868,46740,15872,-,-,-
