品类,增速目标,今年3月实际同比,3月ROAS,现日均收入$,目标日均收入$,现日均订单,目标日均订单
Mother of the Bride,+50%,+68%,4.79,37133,55700,268,402
Bride,+35%,+72%,4.45,26329,35544,140,188
Evening,+65%,+55%,3.53,13955,23026,93,153
Bridesmaid,+80%,+104%,5.55,13535,24363,131,237
Prom,+30%,+31%,4.41,7664,9963,49,63
Cocktail,+60%,+128%,3.46,3666,5866,28,45
Flower Girl,+40%,+58%,3.49,1358,1901,18,25
其他品类(统一),+50%,-,-,3582,5373,269,404
公司合计,+50.8%,约+69%(3月裙装),-,107222,161735,996,1517
