品类,增速目标,今年3月同比/H1同比(参照),现日均收入$,目标日均收入$,日均收入增量$,现日均订单,目标日均订单
Mother of the Bride,+60%,+68%/+92%,37133,59413,22280,268,429
Bride,+42%,+72%/+98%,26329,37387,11058,140,198
Evening,+80%,+55%/+90%,13955,25119,11164,93,167
Bridesmaid,+95%,+104%/+117%,13535,26393,12858,131,256
Prom,+35%,+31%/+41%,7664,10346,2682,49,66
Cocktail,+80%,+128%/+150%,3666,6599,2933,28,50
Flower Girl,+50%,+58%/+68%,1358,2037,679,18,27
其他品类(统一),+60%,-,3582,5731,2149,269,431
公司合计,+61.4%,-,107222,173025,65804,996,1624
