品类,增速目标,现日均收入$,目标日均收入$,日均收入增量$,现日均订单,目标日均订单,日均订单增量,客单价$,难度评级
Mother of the Bride,+35%,37133,50130,12997,268,362,94,138,中高
Bride,+38%,26329,36334,10005,140,193,53,189,中
Evening,+75%,13955,24421,10466,93,162,70,151,中低
Bridesmaid,+100%,13535,27070,13535,131,263,131,103,很高
Prom,+40%,7664,10729,3065,49,68,19,158,中
Cocktail,+80%,3666,6599,2933,28,50,22,131,中
Flower Girl,+60%,1358,2173,815,18,28,11,76,低
其他品类(统一),+50%,3582,5373,1791,269,404,135,-,跟随
公司合计,+51.9%,107222,162829,55607,996,1531,535,-,-
