品类,增速目标,今年3月同比/H1同比(参照),现日均收入$,目标日均收入$,日均收入增量$,现日均订单,目标日均订单
Mother of the Bride,+70%,+68%/+92%,37133,63126,25993,268,456
Bride,+50%,+72%/+98%,26329,39493,13164,140,209
Evening,+90%,+55%/+90%,13955,26515,12560,93,176
Bridesmaid,+110%,+104%/+117%,13535,28423,14888,131,276
Prom,+40%,+31%/+41%,7664,10729,3065,49,68
Cocktail,+90%,+128%/+150%,3666,6966,3300,28,53
Flower Girl,+60%,+58%/+68%,1358,2173,815,18,28
其他品类(统一),+70%,-,3582,6090,2507,269,458
公司合计,+71.2%,-,107222,183515,76293,996,1725
